web_scraper_order,web_scraper_start_url,rooms_area_price_raw_1,rooms_area_price_raw_2,rooms_area_price_raw_3,rooms_area_price_raw_4,rooms_area_price_raw_5,price_raw_1,price_raw_2,price_raw_3,price_raw_4,price_raw_5,address_raw_1,address_raw_2,address_raw_3,address_raw_4,address_raw_5,description_raw_1,description_raw_2,description_raw_3,description_raw_4,description_raw_5,text_raw_1,text_raw_2,text_raw_3,text_raw_4,text_raw_5
"1789666057-1","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3.5 Zimmer","92m²","CHF 2'545.–","","","CHF 2'545.–","","","","","Else - Züblin - str. 79, 8404 Winterthur","","","","","ROY -  erlebe das neue Winterthur!","","","","","ROY erlebe das neue WinterthurSind Sie auf der Suche nach einem neuen, modernen zu Hause? Bei uns finden Sie garantiert die perfekte Wohnung, welche Ihren Vorstellungen entspricht.Lassen Sie sich vom hochwertigen Ausbaustandard überzeugen und vereinbaren Sie noch heute einen individuellen Besichtigungstermin.Alle Informationen finden Sie auf unserer Objekthomepage https://www.roy-winterthur.chWir freuen uns auf Ihre Kontaktaufnahme.Die Bilder zeigen den Standard der Liegenschaft und entsprechen nicht immer der angebotenen Wohnung.","","","",""
"1789666057-2","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3.5 Zimmer","71m²","CHF 1'836.–","","","CHF 1'836.–","","","","","Pfaffenwiesenstr. 54, 8404 Winterthur","","","","","Ihr neues Zuhause!? ""Mieten ohne Kaution""","","","","","Im Herzen des Wallrüti Quartiers in Oberwinterthur vermieten wir diese 3.5 Zimmerwohnung:- Wohn-/Essbereich mit Parkettböden- Moderne Küche mit Geschirrspüler und Glaskeramik- Helles Badezimmer mit Badewanne- Wandschrank im Korridor für mehr Platz- Sonniger Balkon- Kellerabteil - Ruhige, sehr grüne Umgebung- Kinderfreundliche Lage mit Spielplatz - Nähe Schulen und Einkaufsmöglichkeiten - Nähe S-Bahn-Anschluss (Bahnhof 'Wallrüti')Die Bilder entsprechen dem Standard.Eine Besichtigung lohnt sich. Wir freuen uns auf Sie!","","","",""
"1789666057-3","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","4 Zimmer","73m²","CHF 1'865.–","","","CHF 1'865.–","","","","","Holzlegistr. 6, 8408 Winterthur","","","","","Ruhige Lage in Wülflingen - Mieten ohne Kaution","","","","","4.0 Zimmer Wohnung am Standort: Holzlegistr. 6, 8408 Winterthur zu vermieten.- Küche mit Geschirrspüler, Backofen und Glaskeramik- Schönes Bad- Wohnbereich Parkett- Sonniger Balkon mit schöner Aussicht- Eigenes Kellerabteil - Gute Verkehrsverbindungen- Nähe LindenplatzKein Lift vorhandenHaustiere erlaubtSie haben das Objekt bereits besichtigt und möchten sich darauf bewerben? Hier gelangen Sie zur Onlinebewerbung:https://www.mywincasa.ch/candidate/entry/07978.01.001","","","",""
"1789666057-4","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","4.5 Zimmer","90m²","CHF 2'040.–","","","CHF 2'040.–","","","","","Auf Pünten 31, 8405 Winterthur","","","","","Ruhige Wohnlage in der Stadt - MIETEN OHNE KAUTION","","","","","In dieser Grünen und ruhigen Wohnumgebung, bieten wir Ihnen diese 4.5 Zimmer Wohnung in Winterthur an:- Offene Küche mit Glaskeramik- Bad/WC, sep. WC- Wohnbereich mit Parkettboden- Zimmer mit Marmoleum- Einbauschränke- Balkon- Kellerabteil- Spielplatz- Haustierhaltung auf Anfrage- 1. OG, kein LiftSchulen und Einkaufsmöglichkeiten in der Nähe.Für 130.- können Sie einen Parkplatz dazumieten.","","","",""
"1789666057-5","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","1 Zimmer","30m²","CHF 1'370.–","","","CHF 1'370.–","","","","","Gutstr. 11, 8400 Winterthur","","","","","Single-Wohnung an ruhiger Lage zu vermieten!","","","","","Wir vermieten eine Single-Wohnung. Die Wohnung befindet sich an zentraler Lage in Winterthur und punktet mit hellen und attraktiven Räumlichkeiten. Die Wohnung verfügt zudem über:- Küche mit Glaskeramikherd- Parkett im Wohn-/ Schlafzimmer- Plattenboden in Küche und Bad- Genügend Stauraum dank Einbauschrank und eigenem Kellerabteil Das Objekt ist in der Nähe von diversen Einkaufsmöglichkeiten, öffentlichen Verkehrsmitteln wie auch naturnah gelegen.(Die Fotos entsprechen dem Standard, Abweichungen sind möglich.)","","","",""
"1789666057-6","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3.5 Zimmer","71m²","CHF 1'795.–","","","CHF 1'795.–","","","","","Ursulaweg 33, 8404 Winterthur","","","","","Wohnen am Stadtrand von Winti ""Mieten ohne Kaution""","","","","","An ruhiger und dennoch zentraler Lage in Oberwinterthur vermieten wir diese 3.5 Zimmerwohnung: - Parkett im Wohnbereich- Küche mit Geschirrspüler und Glaskeramikherd- Helles Badezimmer mit Badewanne- Geräumige Wandschränke- Reduit- Balkon- Keller- Ruhige, sehr grüne Umgebung- Kinderfreundliche Lage mit Spielplatz - Nähe Schulen und Einkaufsmöglichkeiten - Nähe S-Bahn-Anschluss (Bahnhof 'Wallrüti')Die Bilder entsprechen dem Standard.Eine Besichtigung lohnt sich. Wir freuen uns auf Sie!","","","",""
"1789666057-7","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3.5 Zimmer","110m²","CHF 3'140.–","","","CHF 3'140.–","","","","","Römerstr. 14, 8400 Winterthur","","","","","Ihre Traumwohnung - Mieten ohne Kaution","","","","","Wohnen im Grünen und trotzdem innert Kürze in der Stadt... Folgendes bietet die Wohnung ebenfalls:- Hervorragende Wohnqualität mit allem Komfort- Raumhohe Fenster- Ganze Wohnung Parkett exkl. Nasszellen- Nasszellen Plattenboden / Badewanne und Dusche - Reduit mit Waschturm- Lift vorhanden- Einkaufsmöglichkeiten in unmittelbarer Nähe- Einstellplatz für CHF 160.00 / Monat anmietbarDie Bilder zeigen den Standard der Liegenschaft und entsprechen nicht immer der angebotenen Wohnung.Wir freuen uns auf Ihre Wohnungsbewerbung","","","",""
"1789666057-8","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","2 Zimmer","50m²","CHF 1'390.–","","","CHF 1'390.–","","","","","Büelrainstrasse 1, 8400 Winterthur","","","","","","","","","","","","","",""
"1789666057-9","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","4.5 Zimmer","106m²","CHF 3'395.–","","","CHF 3'395.–","","","","","Magazingasse 4, 8400 Winterthur","","","","","Stadtnahes Wohnen","","","","","Die LageIhr neues Zuhause liegt im Veltheim-Quartier in der neuen Überbauung Zur Weinlese. Hier treffen Sie auf Grossstadt-Flair, welches sich mit dörflicher Gelassenheit vereint hat. Sie profitieren von einer herausragenden Infrastruktur mit einem breiten Angebot und müssen dennoch nicht auf Ruhe und Rückzugsmöglichkeiten verzichten. Winterthur bietet vielfältige Einkaufsmöglichkeiten, Cafés und Restaurants sowie ein breites Sport- und Kulturangebot. Die hübsche Altstadt ist in wenigen Minuten erreichbar und überzeugt mit einer ausgedehnten Fussgängerzone. In Ihrer Freizeit können Sie im Zürcher Weinland mit seinen Seen und Weinbergen beim Spazieren und Radfahren Ihre Seele baumeln lassen und sich entspannen.Ein Rundgang durch die WohnungDank des durchdachten Grundrisses, können Sie sich auf den insgesamt ca. 106.00 m2 Wohnfläche individuell einrichten und persönliche Rückzugsmöglichkeiten schaffen. Die Anhydrit- und die Parkett-Bodenbeläge sorgen für eine luftige Atmosphäre. Weitere Highlights sind die moderne Küche und das grosszügige Wohn-/Esszimmer. Auf dem Balkon können Sie Ihren Feierabend geniessen und sich vom Alltagsstress erholen. Weitere Merkmale dieser Wohnung sind:- moderne Küche- grosszügiges Wohn-/Esszimmer- Zimmer- Balkon- Dusche/WC- Grosszügiges Entree mit Garderobe/Wandschrank- Waschmaschine/Tumbler in der Wohnung- Lift Anrufen. Besichtigen. Mieten.Haben Sie Lust, in einem Trendquartier zu wohnen? Dann freuen wir uns auf Ihre Kontaktaufnahme! Klicken Sie auf folgenden Link:https://flatfox.ch/de/viewing/108538/?code=AlWPdoNXhZrIBjj37EJ69b05ZlziUP_DBSupPk_Hg4kAls Mieter von Helvetia profitieren Sie von 40 % Rabatt auf Ihre erste Jahresprämie für ausgewählte Helvetia Versicherungsprodukte! Bei den publizierten Bildern handelt es sich um typenähnliche/typengleiche Wohnungen. Abweichungen zum effektiven Angebot sind deshalb möglich.Weitere interessante Mietobjekte finden Sie unter: www.helvetia.ch/miete","","","",""
"1789666057-10","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3 Zimmer","57m²","CHF 1'735.–","","","CHF 1'735.–","","","","","Rebenweg 14, 8408 Winterthur","","","","","Frisch sanierte Wohnung, ruhig und doch zentral gelegen","","","","","Wohnen am Stadtrand, an zentraler und doch ruhiger Lage, zwei Busstationen nach dem Lindenplatz, dem Dorfzentrum von Wülflingen mit guten Einkaufsmöglichkeiten. Mit dem Bus erreichen Sie das Stadtzentrum in knapp 10 Minuten. Autobahnanschluss in der Nähe. Die Wohnung wurde im Jahr 2023 total renoviert und befindet sich in einer gepflegten Liegenschaft und bietet Ihnen folgende Ausstattung: Küche mit GlaskeramikkochfeldGeschirrspülerGrosser Kühlschrank mit separatem TiefkühlerArbeitsfläche aus GranitWohnzimmer mit BalkonzugangBadezimmer mit TageslichtZwei helle SchlafzimmerSämtliche Wohnräume mit EichenparkettKüche/Nasszelle/Korridor mit keramischen BodenplattenEstrich- und Kellerabteil vorhandenHaben wir Ihr Interesse geweckt, dann freuen wir uns auf Ihre Kontaktaufnahme.","","","",""
